iter	TotalF1	MultiClass
0	0.4522083318	1.093025476
1	0.4522116151	1.087785551
2	0.4554017856	1.082805783
3	0.4511737493	1.077961956
4	0.4502392485	1.073369345
5	0.4519160215	1.069027215
6	0.4543228656	1.064805257
7	0.4560868262	1.060803539
8	0.4565543399	1.057068048
9	0.4572538879	1.053523906
10	0.4575191883	1.050193441
11	0.4566767165	1.047118004
12	0.4575762464	1.044057838
13	0.4581758195	1.041234866
14	0.4572061259	1.03846452
15	0.4575915182	1.035764835
16	0.4580115789	1.033148017
17	0.4590727707	1.030656316
18	0.4587758561	1.02833912
19	0.4593240509	1.026138208
20	0.4596794931	1.023978882
21	0.4600429782	1.021959918
22	0.4602251519	1.020033084
23	0.4606723093	1.018092295
24	0.4605679903	1.016232904
25	0.460924697	1.014502878
26	0.461234171	1.012774478
27	0.461827104	1.011178372
28	0.4625072445	1.009646476
29	0.4627867392	1.008203974
30	0.4628869933	1.006727383
31	0.46293137	1.005412592
32	0.4630559184	1.004049899
33	0.4634787623	1.002856887
34	0.4632949435	1.001690714
35	0.4634267762	1.000553935
36	0.4639120208	0.9993788826
37	0.4641827296	0.9982679474
38	0.4640152549	0.9971996996
39	0.4643399578	0.9961028757
40	0.4646727456	0.9951334042
41	0.4650860754	0.9941715118
42	0.4654344722	0.9932385679
43	0.4657250095	0.9923304527
44	0.4658034748	0.9914893332
45	0.4657652588	0.9906479324
46	0.4658529976	0.9898083241
47	0.4661369303	0.988966518
48	0.4666411128	0.9882042786
49	0.4667918646	0.9874328717
50	0.4672077047	0.98673482
51	0.4677076544	0.9860429508
52	0.4673712543	0.9854014206
53	0.4678996302	0.9847491794
54	0.4680470654	0.9841503282
55	0.4684442784	0.9834778381
56	0.4687014497	0.9828777211
57	0.468930705	0.9822560832
58	0.4689670958	0.9817296106
59	0.4692083218	0.9811309708
60	0.4695793993	0.9805980536
61	0.4700291501	0.9799876886
62	0.4704135992	0.9794130245
63	0.4704914555	0.9789233708
64	0.4707151122	0.9784728726
65	0.4708430121	0.9780188406
66	0.4711727364	0.9775065386
67	0.4716385173	0.9770133931
68	0.471661885	0.9765785388
69	0.4719081686	0.976136578
70	0.4722096625	0.9757038101
71	0.4728238832	0.9753092587
72	0.4732023448	0.9748836571
73	0.47353828	0.9744891604
74	0.4739713079	0.9740375268
75	0.4742233798	0.9736542433
76	0.4746998063	0.9732064958
77	0.4748909402	0.9728090474
78	0.4753323828	0.9724211902
79	0.4756302493	0.9720616473
80	0.4759265063	0.9717241696
81	0.4761334474	0.9713760816
82	0.4765165354	0.9710619291
83	0.4766679806	0.9707122881
84	0.4767537126	0.9704391649
85	0.4771096152	0.9700995667
86	0.4774355205	0.9697983181
87	0.4778722095	0.9694634173
88	0.4778871469	0.969223437
89	0.4781634054	0.9689571293
90	0.4786165253	0.9686500762
91	0.4790455227	0.9683611735
92	0.4791751374	0.968081973
93	0.4793119395	0.9678202322
94	0.4796015877	0.9675675489
95	0.4800340782	0.9673113892
96	0.480094922	0.9670301935
97	0.4803962373	0.9667820555
98	0.4807049	0.9665671238
99	0.4809375963	0.9663387384
100	0.4813615729	0.9661463805
101	0.4816513331	0.9658980262
102	0.4817439916	0.9657052865
103	0.4817231373	0.9654719179
104	0.4818768271	0.9652534475
105	0.4820237208	0.9650503919
106	0.4823325233	0.9648279623
107	0.4824067574	0.9646042864
108	0.4825752023	0.9644014585
109	0.4828123985	0.9642017412
110	0.4829045009	0.9640428357
111	0.4831993372	0.9638383034
112	0.483428295	0.9636421241
113	0.4835932628	0.9634731356
114	0.4840974968	0.9632783482
115	0.4842582981	0.9630617234
116	0.4843317495	0.9629037383
117	0.4844922646	0.9627648658
118	0.4846634447	0.9626029034
119	0.4848285449	0.9624442169
120	0.4852588235	0.9622560408
121	0.4854936892	0.9620641926
122	0.4854422227	0.9618353278
123	0.4857749089	0.9616649095
124	0.4860118785	0.9615226137
125	0.4859978931	0.9613731919
126	0.4863000736	0.9611674914
127	0.4864453802	0.9610427828
128	0.4866798619	0.960883368
129	0.4867981085	0.9607311306
130	0.4870956654	0.9605783923
131	0.487331583	0.9604315784
132	0.4875126978	0.9602735535
133	0.4876754247	0.9601534938
134	0.4876967398	0.9600195665
135	0.4880731445	0.9598859923
136	0.4882544733	0.9597580084
137	0.4883555202	0.9596454433
138	0.4886388948	0.9594764417
139	0.4887898272	0.9593725108
140	0.4889577862	0.9592733132
141	0.4890732324	0.9591615018
142	0.4893545454	0.9590176459
143	0.4894988705	0.9588840973
144	0.4895714898	0.9587781983
145	0.4896873392	0.9586411783
146	0.4897711414	0.9585081493
147	0.4898721419	0.9583774435
148	0.4901188087	0.9582421637
149	0.4903482471	0.9581325378
150	0.4903327819	0.9580153059
151	0.4904278419	0.9579507863
152	0.4906227881	0.9578640608
153	0.4907942476	0.9577459881
154	0.4909962837	0.9576462678
155	0.49119687	0.9575523677
156	0.4912847736	0.9574299055
157	0.4914697126	0.957324977
158	0.4915444013	0.9572251868
159	0.4916406619	0.9571016334
160	0.4918990321	0.9569886139
161	0.4919378873	0.956933133
162	0.4920022951	0.9568410307
163	0.4921423661	0.9567686126
164	0.492322255	0.9566583924
165	0.4924754846	0.9565331198
166	0.4926344573	0.9564239313
167	0.4927930269	0.9563257678
168	0.4928701748	0.9562206464
169	0.4929487166	0.9561272896
170	0.4930104604	0.9560645604
171	0.4932882977	0.9559703424
172	0.4933113949	0.9558995606
173	0.4934634668	0.9558235867
174	0.4935045218	0.9557522343
175	0.4934968043	0.9556815605
176	0.4936955501	0.955572673
177	0.4938609535	0.9554872398
178	0.4940959904	0.9554103674
179	0.4942057538	0.9553407041
180	0.4942851	0.9552720496
181	0.4946143431	0.9551998437
182	0.4947567594	0.9551317621
183	0.4949191094	0.955051887
184	0.4951381905	0.9549584539
185	0.4953949811	0.9548482493
186	0.4953870238	0.9547932503
187	0.4954771532	0.9547677061
188	0.4954771992	0.9546784545
189	0.4956098531	0.9546122211
190	0.4956570711	0.9545526454
191	0.4957867383	0.9544993652
192	0.4958015417	0.9544368215
193	0.495920479	0.954369879
194	0.4959778738	0.954310622
195	0.4961869221	0.954235139
196	0.4963366473	0.95411994
